Title,Rating,Votes,Duration,Genre
Escape from the 21st Century,6.5,850,98.0,Action
"Love, Courage and the Battle of Bushy Run",4.9,178,113.0,Action
Khadaan,7.2,2,137.0,Action
A.R.M,7.1,8,150.0,Action
Raayan,6.5,11,145.0,Action
Devil's Knight,5.3,793,90.0,Action
Get Fast,3.6,446,88.0,Action
Kanguva,4.5,15,152.0,Action
The Slave and the Sorcerer,6.6,39,86.0,Action
Ryan's World the Movie: Titan Universe Adventure,1.8,678,80.0,Action
Saripodhaa Sanivaaram,7.0,9,166.0,Action
GTMax,5.0,1,100.0,Action
Cassino in Ischia,4.4,239,113.0,Action
200% Wolf,5.9,1,98.0,Action
Bagheera,6.7,7,158.0,Action
Savi,6.2,35,126.0,Action
The Ballad of Davy Crockett,4.6,246,96.0,Action
Everybody Loves Jenifa,8.3,82,135.0,Action
Kingdom 4: Return of the Great General,7.1,1,145.0,Action
Cesium Fallout,6.6,542,136.0,Action
40 Acres,6.8,125,113.0,Action
Razakar: The Silent Genocide of Hyderabad,7.4,5,166.0,Action
Deaner '89,5.9,416,90.0,Action
Invasion,4.8,671,91.0,Action
Tales Beyond the Galaxy,4.7,169,76.0,Action
Mura,7.3,6,129.0,Action
Vedaa,6.0,4,145.0,Action
Tillu Square,6.6,3,137.0,Action
Indian 2,3.8,16,,Action
Crakk: Jeetega... Toh Jiyegaa,4.7,6,154.0,Action
Snatched,4.9,209,101.0,Action
Alienoid: The Return to the Future,6.5,2,122.0,Action
Rajakili,7.5,567,122.0,Action
Je Jatt Vigarh Gya,5.7,821,132.0,Action
Ka Whawhai Tonu,7.4,176,115.0,Action
Paradise,6.9,77,83.0,Action
Malaikottai Vaaliban,6.0,4,156.0,Action
Bionic,4.3,1,110.0,Action
Barroz: Guardian of Treasures,3.5,986,155.0,Action
School of Magical Animals 3,5.9,307,105.0,Action
Hunting with Tigers,5.6,520,109.0,Action
The Charisma Killers,6.2,653,101.0,Action
Garudan,7.1,3,133.0,Action
Mission: Cross,6.1,2,105.0,Action
The Last of Us: Immunity,5.8,14,64.0,Action
Cells at Work!,6.8,186,109.0,Action
Citizen of a Kind,6.7,787,114.0,Action
Stuntman,7.0,159,114.0,Action
Son's Will,7.4,842,,Action
Auron Mein Kahan Dum Tha,6.6,41,150.0,Action
Sasan,8.6,67,155.0,Action
Kahar: Kapla High Council,6.9,448,102.0,Action
Shark Warning,3.4,259,94.0,Action
Yodha,5.7,8,130.0,Action
The Plot,4.8,373,100.0,Action
SCP: The Infinite Mission,6.0,32,0.0,Action
Onsen shâku,6.1,23,70.0,Action
Taken from Rio Bravo,3.0,311,80.0,Action
Sorgavaasal,6.6,1,138.0,Action
Non Negotiable,5.4,1,87.0,Action
The Kingdom,7.9,88,133.0,Action
UI,6.9,5,135.0,Action
The Friendly,8.1,15,101.0,Action
I Am What I Am 2,7.5,197,134.0,Action
Orang Ikan,6.5,32,83.0,Action
Diabel,5.1,237,108.0,Action
Pimpinero: Blood and Oil,5.6,544,121.0,Action
Art of Eight Limbs,3.9,309,101.0,Action
Yudhra,5.0,13,142.0,Action
Baby Assassins: Nice Days,7.3,289,103.0,Action
The Unbreakable Bunch,7.2,26,0.0,Action
Baki Hanma VS Kengan Ashura,5.7,1,62.0,Action
Gravediggers,6.4,29,91.0,Action
Echo 8,3.9,187,96.0,Action
Sunfall,2.3,36,74.0,Action
Eagle,5.9,4,159.0,Action
Lisabi: The Uprising,6.1,123,107.0,Action
The Actor,3.3,725,128.0,Action
Ayalaan,6.0,4,155.0,Action
No Time to Spy: A Loud House Movie,6.4,443,81.0,Action
Jithender Reddy,9.5,2,136.0,Action
Big City Greens the Movie: Spacecation,6.2,538,83.0,Action
Rogue Elements: A Ryan Drake Story,4.8,944,44.0,Action
Team of Two,5.0,108,,Action
Crisis Negotiators,6.7,706,120.0,Action
Martin,2.3,36,147.0,Action
Matka,4.7,583,156.0,Action
The Bouncer,4.2,84,78.0,Action
Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,8.2,654,174.0,Action
The Epidemic,5.8,69,95.0,Action
High Forces,5.7,521,119.0,Action
Siren,6.4,2,154.0,Action
Bureau 749,4.1,514,123.0,Action
Devaki Nandana Vasudeva,8.8,2,128.0,Action
Reapers,8.7,573,,Action
Clownface 3,9.5,35,104.0,Action
American Underdog,8.8,23,89.0,Action
Ghosts of Red Ridge,3.3,152,81.0,Action
Hiranya,5.6,19,138.0,Action
Sucha Soorma,6.4,915,136.0,Action
Desperado,6.0,141,100.0,Action
6 Hours Away,3.9,242,93.0,Action
The Wolf,3.5,35,,Action
Mongol,8.7,93,155.0,Action
Lady Scorpions,3.6,366,101.0,Action
Gandhi 3,5.5,237,143.0,Action
Sector 17,5.4,1,146.0,Action
Alangu,8.2,1,131.0,Action
Eye for an Eye 2,6.6,497,90.0,Action
The Grey Men,6.4,69,97.0,Action
Clone Cops,8.0,191,96.0,Action
Sons of Rizk 3,6.7,1,125.0,Action
Nothing Even Matters,5.5,76,90.0,Action
Witch Hunter,5.2,23,80.0,Action
Harom Hara,7.7,3,154.0,Action
Love You to Debt,6.2,754,135.0,Action
Purushothamudu,7.4,13,120.0,Action
September Babies,5.8,286,94.0,Action
Memes & Nightmares,5.7,84,81.0,Action
Dirty Money,5.6,113,100.0,Action
Black Creek,8.6,7,116.0,Action
Go for Broke,5.7,270,115.0,Action
Customs Frontline,5.4,475,115.0,Action
Conquer: Lahad Datu,6.7,503,120.0,Action
Mobile Suit Gundam SEED Freedom,6.6,943,124.0,Action
Kadakan,4.0,112,128.0,Action
Camp Blood: Clown Shark,3.3,86,70.0,Action
Naam,6.3,276,136.0,Action
Lal Salaam,4.5,1,150.0,Action
Timuchin,5.9,19,,Action
My Fathers' Daughter,6.7,74,78.0,Action
Nu Huo 12 Xiao Shi,6.0,47,86.0,Action
Hitler,5.2,304,128.0,Action
Iron Fighter,3.6,62,80.0,Action
Rendel: Cycle of Revenge,3.6,244,99.0,Action
Appudo Ippudo Eppudo,4.7,229,120.0,Action
Shu Si Yi Bo,6.6,32,91.0,Action
