Title,Rating,Votes,Duration,Genre
"296. Milk, Rice, and the Blood",9.0, (51),45m,Crime
297. Bodiless,5.7, (1K),1h 30m,Crime
298. Vares X,3.7, (116),1h 25m,Crime
299. Breathe,8.8, (43),N/A,Crime
300. They Turned Us Into Killers,2.8, (252),1h 26m,Crime
301. Taxali Gate,6.6, (118),1h 35m,Crime
302. S.I.T,7.9, (2.3K),1h 50m,Crime
303. Silver Star,6.9, (15),1h 42m,Crime
304. Double or Nothing,N/A,N/A,N/A,Crime
305. Priyo Maloti,6.7, (175),1h 59m,Crime
306. The Infallibles,4.8, (750),1h 39m,Crime
307. Andhagan,6.7, (1.2K),2h 22m,Crime
308. Vina: Before 7 Days,5.4, (578),1h 40m,Crime
309. What Happens in Miami,4.3, (219),1h 30m,Crime
310. Plea,6.9, (23),1h 28m,Crime
311. Bhaje Vaayu Vegam,6.1, (550),2h 16m,Crime
312. Mathu Vadalara 2,7.0, (1.6K),2h 19m,Crime
313. Zabt,6.0, (19),N/A,Crime
314. Fyre Rises,6.5, (321),1h 50m,Crime
315. The Legend of the Vagabond Queen of Lagos,7.8, (31),1h 40m,Crime
316. Protein,6.6, (61),1h 40m,Crime
317. Bangkok Breaking: Heaven and Hell,5.8, (662),2h 26m,Crime
318. Little Jaffna,6.9, (40),1h 40m,Crime
319. Sentimentaaal,5.8, (972),2h 15m,Crime
320. A Hateful Enemy,N/A,N/A,1h 16m,Crime
321. Wannabe,4.6, (126),1h 42m,Crime
322. Sinful Lies,8.0, (6),1h 5m,Crime
323. Killerwood,6.8, (22),1h 24m,Crime
324. The Star City Murders,4.1, (142),1h 19m,Crime
325. Filthy Animals,7.3, (91),1h 36m,Crime
326. Hustlers Take All,5.5, (80),1h 46m,Crime
327. Mr. Bachchan,3.6, (5.3K),2h 30m,Crime
328. Green Bones,7.7, (181),1h 36m,Crime
329. Vrutos,8.4, (9),1h 40m,Crime
330. Happy Birthday Luci,9.4, (56),N/A,Crime
331. Perfect Blue,7.4, (5),N/A,Crime
"332. Extraction, USA",7.4, (55),N/A,Crime
333. Bangkok Dog,5.0, (142),1h 25m,Crime
334. Saindhav,5.1, (1.6K),2h 18m,Crime
335. The Desperate Chase,5.5, (57),1h 50m,Crime
336. Where Is Gilgamesh?,9.0, (605),1h 30m,Crime
337. Gangs of Godavari,5.0, (903),2h 45m,Crime
338. Silence 2: The Night Owl Bar Shootout,6.2, (1.9K),2h 22m,Crime
339. Bars,5.8, (23),2h 15m,Crime
340. The Murder of Sandra Rivett,6.2, (144),1h 30m,Crime
341. Octopus with Broken Arms,6.1, (199),1h 49m,Crime
342. Kondal,5.4, (766),2h 27m,Crime
343. Yalakunni,8.9, (166),2h 15m,Crime
344. DNA,5.1, (210),2h 36m,Crime
345. Kiss of the Con Queen,7.5, (27),1h 57m,Crime
346. Bond of Justice: Kizuna Part I - Encounter,6.1, (17),1h 32m,Crime
347. Oru Nodi,6.7, (503),2h 8m,Crime
348. Bastar: The Naxal Story,6.4, (3.3K),2h 4m,Crime
349. Formed Police Unit,4.6, (474),2h,Crime
350. Rakshana,5.5, (1.1K),2h 19m,Crime
351. Cursed in Baja,7.7, (20),1h 20m,Crime
352. Road to Terzetto,7.4, (29),1h 36m,Crime
353. The Best of Me,N/A,N/A,1h 29m,Crime
354. The Moon Thieves,6.1, (241),1h 48m,Crime
355. Suspicion,3.6, (206),1h 55m,Crime
356. Nasha Jurm Aur Gangsters,6.9, (2.4K),2h 17m,Crime
357. Ten Toes Down,8.0, (31),N/A,Crime
358. Tòkunbò,3.9, (294),1h 53m,Crime
359. Uno,8.7, (30),N/A,Crime
360. Pathological: The Lies of Joran van der Sloot,6.5, (344),1h 33m,Crime
361. Pattaya Heat,5.6, (222),1h 57m,Crime
362. Piano Love,5.2, (13),1h 36m,Crime
363. State of Silence,6.5, (109),1h 20m,Crime
364. Shivam Bhaje,7.9, (3K),2h 1m,Crime
365. Chameleon,5.8, (31),2h 13m,Crime
366. Angry Squad: Civil Servants & Seven Swindlers,8.1, (37),2h,Crime
367. Kingdom Reign,8.3, (36),1h 59m,Crime
368. Remedy,4.1, (261),1h 22m,Crime
369. Baba Yaga,N/A,N/A,N/A,Crime
370. The Donor,9.0, (9),23m,Crime
371. Nastupit leto,7.4, (20),1h 34m,Crime
372. Breaking the Silence: The Maria Soledad Case,6.4, (516),1h 35m,Crime
373. The Hostage,6.0, (10),N/A,Crime
374. Hunt the Wicked,5.3, (108),1h 42m,Crime
375. Hit List,5.5, (310),2h 5m,Crime
376. Chitram Choodara,4.6, (15),2h 7m,Crime
377. Take Good Care,N/A,N/A,1h 41m,Crime
378. Cafe 404,7.1, (34),1h 33m,Crime
379. Remember Us,6.2, (38),1h 36m,Crime
380. Duffle Bag Boy,6.9, (57),N/A,Crime
381. Deadly Ruphoria,6.3, (32),N/A,Crime
382. Second Life,6.8, (47),1h 45m,Crime
383. Youn'G,8.9, (49),N/A,Crime
384. Reloaded 2,8.0, (1K),45m,Crime
385. Hain,2.9, (45),1h 35m,Crime
386. The Worst Man in London,5.7, (146),2h 7m,Crime
387. Rob N Roll,6.1, (1.5K),1h 38m,Crime
388. Raktaksha,8.4, (1.4K),1h 58m,Crime
389. Money No Enough 3,6.0, (264),2h 18m,Crime
